sample_id,price
0,15.355
4,1.815
6,6.99
11,14.74
12,6.99
16,19.37
22,19.22
24,5.49
30,24.99
33,5.59
34,81.99
38,3.89
39,7.99
46,10.99
52,35.98
54,24.99
60,6.85
70,14.99
77,25.775
79,34.1
87,20.42
88,13.94
96,90.0
103,20.24
105,11.99
106,18.98
110,3.79
111,11.695
112,9.99
115,10.99
119,36.945
121,29.99
124,30.11
129,7.985
130,7.99
131,7.98
144,21.595
147,27.78
149,7.24
151,8.6
161,27.88
164,26.2
170,36.37
172,35.91
174,9.455
175,30.37
180,13.715
183,13.69
186,3.345
196,6.635
197,20.64
198,3.79
208,5.47
211,2.96
219,2.48
221,5.705
222,6.99
230,23.985
235,15.99
239,11.7
254,1.28
256,2.15
264,6.17
265,34.11
267,14.93
274,7.99
282,12.4
283,7.96
295,45.99
298,14.59
304,10.79
305,9.2
307,12.29
308,12.29
313,14.205
315,38.985
317,12.855
321,10.69
323,8.34
331,8.65
337,3.99
349,28.49
350,49.19
353,26.96
355,42.82
356,17.99
358,5.8100000000000005
361,17.96
362,17.96
366,17.96
367,17.96
369,17.96
371,17.95
378,26.96
382,4.75
384,26.96
385,17.95
386,15.91
391,42.99
394,4.74
397,11.39
400,19.98
402,17.96
403,44.84
406,2.99
408,28.5
413,17.96
417,15.95
423,14.9
428,5.99
431,30.41
436,19.1
447,14.99
450,19.99
452,12.4
459,25.245
465,18.98
472,4.49
476,5.045
483,13.95
488,2.78
493,7.49
495,9.625
501,5.390000000000001
502,18.65
504,18.38
505,9.99
508,24.5
510,48.84
524,70.1
527,4.34
528,22.625
546,3.99
549,21.0
562,21.0
565,21.0
567,21.0
569,15.24
572,5.99
575,6.29
588,5.99
589,12.39
597,12.99
602,14.61
616,14.475
619,24.95
621,11.99
629,18.9
630,3.31
631,18.9
634,21.49
644,10.685
653,16.99
658,11.24
659,10.99
674,34.97
677,4.99
690,48.23
696,50.22
697,8.49
698,30.97
704,14.97
705,12.84
710,15.435
713,26.49
715,3.31
721,10.99
730,16.99
731,16.485
735,54.95
751,12.88
752,47.5
772,11.48
774,11.99
775,27.9
778,92.98
782,31.0
787,7.99
789,7.99
790,16.98
791,11.49
796,19.99
797,23.36
800,25.255000000000003
803,27.39
811,68.42
835,4.19
844,3.56
849,24.98
852,81.99
854,9.1
861,19.99
868,26.96
869,26.96
870,17.96
871,79.99
878,219.99
883,17.96
884,17.95
889,46.99
891,13.47
896,8.99
899,19.97
900,23.89
902,26.195
904,5.640000000000001
912,3.94
919,26.96
920,17.95
923,26.96
925,25.0
926,5.29
931,67.81
935,20.88
939,108.28
940,70.49
941,66.23
943,20.98
945,25.99
949,13.99
951,5.140000000000001
954,23.99
955,58.48
960,6.215
963,19.705
964,5.12
970,43.835
976,53.72
983,36.485
985,29.88
986,5.32
988,5.29
989,10.16
990,1.57
991,3.89
992,46.94
998,57.49
1002,52.05
1005,12.99
1007,66.31
1009,21.05
1011,6.97
1013,20.84
1014,16.99
1017,14.84
1020,16.99
1023,20.08
1024,1.74
1025,14.91
1026,14.99
1027,3.49
1028,31.99
1031,8.495000000000001
1037,14.99
1039,5.515000000000001
1043,11.99
1047,3.99
1054,15.635
1060,14.99
1069,2.155
1071,3.985
1077,21.985
1081,1.855
1086,7.55
1089,101.68
1099,7.99
1105,25.67
1107,15.489999999999998
1108,25.67
1110,39.99
1111,39.99
1113,14.93
1116,412.61
1120,44.3
1124,17.99
1129,76.44
1134,13.99
1136,11.99
1146,23.99
1149,8.165
1156,23.205
1159,5.54
1164,23.34
1166,20.1
1174,19.815
1182,16.9
1184,62.99
1192,19.99
1195,4.055
1199,14.25
1202,33.7
1205,13.935
1211,11.12
1225,61.99
1230,23.13
1235,0.99
1237,39.46
1238,18.99
1239,0.99
1243,13.8
1248,10.64
1249,13.99
1250,47.48
1260,3.99
1262,2.355
1266,9.98
1275,10.99
1281,77.49
1285,32.07
1295,9.69
1300,5.545
1305,7.95
1309,17.794999999999998
1315,16.95
1319,3.92
1321,18.325000000000003
1322,27.87
1323,9.635
1325,5.835
1343,35.63
1351,88.39
1361,27.61
1362,34.81
1364,55.93
1368,59.48
1370,29.41
1374,53.01
1375,30.98
1382,38.54
1389,53.01
1397,126.3
1398,38.54
1402,39.71
1405,45.27
1411,50.76
1413,59.2
1415,42.11
1416,97.46
1417,59.2
1438,141.62
1446,88.39
1452,80.86
1457,50.76
1461,126.3
1462,53.01
1470,59.48
1472,55.93
1474,38.54
1475,50.76
1480,10.87
1482,27.4
1483,35.63
1486,35.47
1487,35.63
1488,128.44
1492,34.5
1496,21.99
1502,5.99
1510,34.5
1516,35.63
1526,59.2
1530,52.61
1534,56.56
1535,17.97
1540,81.92
1547,88.39
1549,45.27
1550,55.93
1554,18.47
1557,55.93
1566,56.01
1567,77.04
1570,59.48
1572,42.74
1574,97.46
1582,68.14
1589,38.54
1592,29.13
1595,29.41
1608,24.42
1612,55.93
1617,46.89
1619,83.74
1626,46.64
1629,30.98
1632,45.27
1637,46.8
1642,38.92
1647,59.2
1651,38.54
1654,59.48
1656,59.2
1659,42.11
1674,39.71
1678,18.13
1680,38.54
1682,20.08
1683,46.8
1684,53.01
1687,86.02
1690,52.61
1700,20.68
1704,20.68
1708,86.02
1710,35.47
1711,56.56
1715,56.01
1717,97.46
1721,51.77
1725,55.93
1727,117.49
1738,83.74
1742,39.71
1746,26.09
1749,16.77
1765,141.62
1768,83.74
1771,117.49
1776,59.2
1778,39.71
1779,56.56
1781,45.27
1784,20.68
1790,86.91
1794,20.68
1798,72.8
1801,29.36
1802,20.68
1807,83.74
1810,77.04
1818,42.74
1831,26.09
1834,55.93
1837,51.77
1842,39.71
1843,46.89
1851,50.1
1858,80.86
1860,30.98
1865,18.47
1866,27.4
1870,56.37
1876,81.28
1877,57.63
1878,26.09
1879,81.92
1883,45.27
1885,50.1
1891,26.09
1898,20.08
1899,20.08
1900,88.39
1901,38.92
1923,52.61
1931,50.58
1932,97.46
1934,17.97
1936,29.41
1938,18.47
1945,27.4
1951,26.09
1954,32.2
1956,38.54
1958,27.4
1962,72.8
1964,55.93
1966,86.91
1968,32.2
1972,56.01
1976,27.61
1979,86.91
1983,57.7
1987,50.58
1988,56.37
1994,24.42
1997,18.47
2002,77.04
2006,50.58
2009,38.54
2010,18.47
2011,88.39
2022,56.01
2031,52.61
2032,27.61
2033,72.8
2034,32.2
2037,141.62
2042,15.32
2044,20.08
2047,86.91
2058,42.74
2060,52.61
2062,50.13
2071,30.01
2084,83.74
2086,32.2
2089,55.93
2090,56.37
2092,38.92
2095,29.41
2103,34.5
2105,128.44
2111,20.27
2113,81.92
2115,53.01
2119,51.54
2122,56.56
2136,18.13
2138,26.09
2141,46.8
2143,126.3
2145,81.28
2146,117.49
2148,50.58
2151,46.64
2153,50.1
2154,24.42
2160,80.86
2162,39.71
2163,46.64
2165,29.13
2167,77.04
2169,72.8
2173,56.56
2174,24.29
2176,46.89
2179,67.78
2181,97.46
2182,55.93
2186,55.93
2192,45.27
2202,97.46
2207,34.5
2211,81.28
2212,50.58
2225,42.74
2226,35.63
2233,42.11
2240,80.86
2251,35.63
2254,59.2
2255,18.47
2262,34.81
2265,18.55
2268,56.37
2269,52.61
2270,126.3
2271,51.54
2276,80.86
2284,57.63
2286,86.91
2287,56.37
2294,35.63
2295,128.44
2296,24.29
2298,20.68
2300,34.5
2302,46.64
2315,15.32
2316,20.08
2319,68.14
2324,50.13
2327,50.1
2328,38.92
2336,86.43
2342,72.8
2343,72.8
2346,141.62
2347,77.04
2353,57.63
2362,53.01
2363,77.04
2365,16.77
2374,117.49
2375,39.71
2379,16.77
2381,26.09
2385,38.92
2392,18.47
2402,128.44
2403,50.76
2406,15.32
2409,29.36
2417,38.54
2423,46.89
2428,76.44
2429,34.5
2432,53.01
2436,88.39
2444,50.1
2448,18.47
2454,35.47
2458,15.32
2459,141.62
2463,57.63
2467,32.2
2481,50.13
2484,56.01
2486,97.46
2494,18.13
2501,126.3
2502,46.04
2503,56.37
2511,50.76
2515,53.01
2518,97.46
2519,56.56
2532,24.42
2533,67.78
2534,35.47
2537,76.44
